epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,628.796,0.96998,3.95433,0.95357,0.03935,0.04906,0.01671,0.01375,0.8868,4.52666,0.87156,9.17939e-05,9.17939e-05,9.17939e-05
46,632.957,1.01235,4.04411,0.92786,0.04058,0.0597,0.02004,0.01637,0.89366,4.51241,0.87285,9.30069e-05,9.30069e-05,9.30069e-05
47,637.313,0.98186,3.95392,0.92386,0.0421,0.07054,0.02355,0.01894,0.90216,4.49424,0.87432,9.41811e-05,9.41811e-05,9.41811e-05
48,641.192,0.96679,3.97418,0.91219,0.10147,0.07935,0.02928,0.0236,0.90027,4.47579,0.87419,9.53166e-05,9.53166e-05,9.53166e-05
49,645.324,1.02647,3.94439,0.92055,0.08586,0.08788,0.03186,0.02542,0.88464,4.45661,0.87316,9.64132e-05,9.64132e-05,9.64132e-05
50,649.337,0.95416,3.94866,0.91687,0.09411,0.10193,0.03586,0.02828,0.87444,4.43833,0.87178,9.7471e-05,9.7471e-05,9.7471e-05
51,653.399,1.06125,3.9551,0.92858,0.09411,0.10193,0.03586,0.02828,0.87444,4.43833,0.87178,9.849e-05,9.849e-05,9.849e-05
52,657.626,0.97975,3.86584,0.93365,0.08271,0.12389,0.04415,0.0353,0.87194,4.41793,0.8716,9.94702e-05,9.94702e-05,9.94702e-05
53,661.603,0.97747,3.7958,0.92627,0.08271,0.12389,0.04415,0.0353,0.87194,4.41793,0.8716,0.000100412,0.000100412,0.000100412
54,665.531,1.01003,3.91255,0.91283,0.0781,0.13368,0.04971,0.03985,0.87675,4.39635,0.8732,0.000101314,0.000101314,0.000101314
55,669.834,0.96791,3.85175,0.90219,0.0781,0.13368,0.04971,0.03985,0.87675,4.39635,0.8732,0.000102178,0.000102178,0.000102178
56,674.395,0.93773,3.89902,0.91261,0.08068,0.15458,0.05787,0.04575,0.87257,4.37876,0.87393,0.000103003,0.000103003,0.000103003
57,678.465,0.97763,3.79842,0.92574,0.08068,0.15458,0.05787,0.04575,0.87257,4.37876,0.87393,0.000103789,0.000103789,0.000103789
58,682.774,0.96375,3.82306,0.89188,0.07251,0.16784,0.06489,0.05102,0.86151,4.36107,0.87461,0.000104536,0.000104536,0.000104536
