epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,844.799,0.84026,0.97193,0.93852,1,0.97262,0.99451,0.70804,0.97429,1.22286,0.95871,0.0011486,0.0011486,0.0011486
45,872.579,0.94141,1.03855,1.04112,1,0.97262,0.99451,0.70804,0.97429,1.22286,0.95871,0.0011288,0.0011288,0.0011288
46,899.951,0.90313,1.06514,1.02339,1,0.9932,0.995,0.82291,0.71442,1.16979,0.90526,0.001109,0.001109,0.001109
47,926.095,0.81135,0.99593,0.97182,1,0.97034,0.99405,0.84611,0.66585,1.14505,0.892,0.0010892,0.0010892,0.0010892
48,949.893,0.94823,1.0201,0.97879,0.97545,0.99334,0.99378,0.78321,0.85029,1.1686,0.92785,0.0010694,0.0010694,0.0010694
49,972.605,0.80896,1.01179,0.96302,0.97545,0.99334,0.99378,0.78321,0.85029,1.1686,0.92785,0.0010496,0.0010496,0.0010496
50,994.902,0.91429,0.96754,0.98158,1,0.995,0.995,0.76373,0.86036,1.12369,0.94223,0.0010298,0.0010298,0.0010298
51,1018.52,0.89831,1.03315,0.97843,0.96679,1,0.99329,0.84664,0.72429,1.03132,0.92485,0.00101,0.00101,0.00101
52,1042.92,0.75277,1.01472,0.97569,0.99123,0.975,0.99451,0.79877,0.83346,1.05436,0.94787,0.0009902,0.0009902,0.0009902
53,1065.7,0.77296,0.84913,0.9388,0.99123,0.975,0.99451,0.79877,0.83346,1.05436,0.94787,0.0009704,0.0009704,0.0009704
54,1093.23,0.8275,0.85866,0.932,0.99144,1,0.995,0.81178,0.77125,1.06578,0.92176,0.0009506,0.0009506,0.0009506
55,1116.57,0.7564,0.9106,0.92697,0.96613,1,0.9889,0.81796,0.68201,1.03268,0.889,0.0009308,0.0009308,0.0009308
56,1139.77,0.72306,0.89137,0.91485,0.99608,1,0.995,0.81713,0.70527,0.99852,0.88792,0.000911,0.000911,0.000911
57,1162.57,0.79272,0.7976,0.91925,0.99608,1,0.995,0.81713,0.70527,0.99852,0.88792,0.0008912,0.0008912,0.0008912
58,1185.52,0.73646,0.86443,0.9032,0.99822,1,0.995,0.81576,0.65239,0.94315,0.88069,0.0008714,0.0008714,0.0008714
59,1208.11,0.7197,0.77623,0.90616,0.99709,1,0.995,0.82054,0.66367,0.94477,0.87742,0.0008516,0.0008516,0.0008516
60,1230.75,0.70322,0.7816,0.8937,0.99767,1,0.995,0.82724,0.62104,0.91284,0.87425,0.0008318,0.0008318,0.0008318
61,1253.45,0.72083,0.79099,0.90813,0.99767,1,0.995,0.82724,0.62104,0.91284,0.87425,0.000812,0.000812,0.000812
62,1277.89,0.69774,0.87594,0.90666,0.99732,1,0.995,0.84249,0.56351,0.89263,0.86478,0.0007922,0.0007922,0.0007922
