epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,183.501,0.99103,4.03872,0.95643,0.03646,0.03144,0.01106,0.00898,0.89126,4.5541,0.86938,7.30108e-05,7.30108e-05,7.30108e-05
46,187.946,1.03072,4.127,0.93423,0.02718,0.03802,0.01288,0.01049,0.88949,4.53555,0.86816,7.33603e-05,7.33603e-05,7.33603e-05
47,192.07,1.00148,4.04796,0.93213,0.03281,0.04663,0.01539,0.01248,0.8909,4.51582,0.86771,7.36517e-05,7.36517e-05,7.36517e-05
48,195.901,0.99444,4.07951,0.92058,0.05638,0.05642,0.01794,0.0143,0.88697,4.49972,0.86764,7.38848e-05,7.38848e-05,7.38848e-05
49,200.37,1.04751,4.05077,0.92476,0.05103,0.0689,0.0232,0.01886,0.87692,4.48174,0.86704,7.40598e-05,7.40598e-05,7.40598e-05
50,204.497,0.96799,4.04859,0.92165,0.04628,0.07403,0.0251,0.02008,0.86712,4.46419,0.86638,7.41765e-05,7.41765e-05,7.41765e-05
51,208.672,1.07728,4.06143,0.93459,0.04628,0.07403,0.0251,0.02008,0.86712,4.46419,0.86638,7.4235e-05,7.4235e-05,7.4235e-05
52,212.844,0.98775,3.97673,0.93813,0.07027,0.09274,0.02899,0.02297,0.8663,4.44244,0.86672,7.42353e-05,7.42353e-05,7.42353e-05
53,216.626,0.98187,3.92501,0.92948,0.07027,0.09274,0.02899,0.02297,0.8663,4.44244,0.86672,7.41774e-05,7.41774e-05,7.41774e-05
54,220.639,1.03044,4.02859,0.91985,0.07024,0.10957,0.03257,0.02595,0.86643,4.42153,0.86701,7.40612e-05,7.40612e-05,7.40612e-05
55,224.494,0.98121,3.9703,0.90997,0.07024,0.10957,0.03257,0.02595,0.86643,4.42153,0.86701,7.38869e-05,7.38869e-05,7.38869e-05
56,228.571,0.95615,4.00724,0.91787,0.06583,0.11838,0.03616,0.02886,0.86677,4.40112,0.86644,7.36543e-05,7.36543e-05,7.36543e-05
57,232.453,0.99018,3.92581,0.93139,0.06583,0.11838,0.03616,0.02886,0.86677,4.40112,0.86644,7.33636e-05,7.33636e-05,7.33636e-05
58,236.258,0.97634,3.95226,0.89599,0.06419,0.14319,0.04166,0.03313,0.86166,4.38143,0.86605,7.30146e-05,7.30146e-05,7.30146e-05
59,240.138,1.01469,3.94529,0.90705,0.06419,0.14319,0.04166,0.03313,0.86166,4.38143,0.86605,7.26074e-05,7.26074e-05,7.26074e-05
60,244.242,0.97017,3.91901,0.92524,0.07333,0.1716,0.05046,0.03907,0.85759,4.36282,0.86608,7.2142e-05,7.2142e-05,7.2142e-05
61,248.096,0.9701,3.79875,0.90336,0.07333,0.1716,0.05046,0.03907,0.85759,4.36282,0.86608,7.16184e-05,7.16184e-05,7.16184e-05
62,251.848,0.98211,3.86672,0.94066,0.06865,0.18725,0.05759,0.04446,0.86341,4.34015,0.86593,7.10366e-05,7.10366e-05,7.10366e-05
63,255.465,1.04056,3.78513,0.93717,0.06865,0.18725,0.05759,0.04446,0.86341,4.34015,0.86593,7.03965e-05,7.03965e-05,7.03965e-05
64,259.362,0.96515,3.8082,0.90625,0.07408,0.22382,0.06642,0.05089,0.87429,4.31979,0.86795,6.96983e-05,6.96983e-05,6.96983e-05
65,263.136,0.92362,3.78074,0.90778,0.07408,0.22382,0.06642,0.05089,0.87429,4.31979,0.86795,6.89418e-05,6.89418e-05,6.89418e-05
66,266.849,0.98602,3.74518,0.92236,0.07608,0.24455,0.06979,0.05335,0.88618,4.29439,0.86984,6.81272e-05,6.81272e-05,6.81272e-05
67,271.062,0.9848,3.80505,0.90059,0.07608,0.24455,0.06979,0.05335,0.88618,4.29439,0.86984,6.72543e-05,6.72543e-05,6.72543e-05
68,275.026,0.92426,3.82283,0.91236,0.07856,0.25925,0.07453,0.0571,0.88608,4.26679,0.87084,6.63232e-05,6.63232e-05,6.63232e-05
69,278.777,0.91966,3.67242,0.91095,0.07856,0.25925,0.07453,0.0571,0.88608,4.26679,0.87084,6.53339e-05,6.53339e-05,6.53339e-05
70,282.743,0.99017,3.7569,0.91365,0.08588,0.28375,0.08114,0.06225,0.88516,4.23575,0.87101,6.42863e-05,6.42863e-05,6.42863e-05
71,286.732,0.92747,3.70721,0.9091,0.08588,0.28375,0.08114,0.06225,0.88516,4.23575,0.87101,6.31806e-05,6.31806e-05,6.31806e-05
72,290.521,0.96451,3.58995,0.94658,0.08143,0.3027,0.08348,0.06328,0.885,4.20487,0.87262,6.20167e-05,6.20167e-05,6.20167e-05
73,294.28,0.92101,3.62924,0.90695,0.08143,0.3027,0.08348,0.06328,0.885,4.20487,0.87262,6.07945e-05,6.07945e-05,6.07945e-05
74,298.158,0.99007,3.74782,0.92338,0.07304,0.31605,0.08749,0.067,0.87579,4.17376,0.8721,5.95141e-05,5.95141e-05,5.95141e-05
75,302.055,0.93381,3.6644,0.89936,0.07304,0.31605,0.08749,0.067,0.87579,4.17376,0.8721,5.81755e-05,5.81755e-05,5.81755e-05
76,305.995,0.92275,3.70761,0.91211,0.06888,0.33425,0.09221,0.07187,0.86012,4.13655,0.86986,5.67787e-05,5.67787e-05,5.67787e-05
77,309.928,0.98478,3.59791,0.90543,0.06888,0.33425,0.09221,0.07187,0.86012,4.13655,0.86986,5.53237e-05,5.53237e-05,5.53237e-05
78,313.734,0.97227,3.6458,0.91308,0.07171,0.43153,0.10128,0.07955,0.84729,4.09362,0.86833,5.38105e-05,5.38105e-05,5.38105e-05
79,317.469,0.95151,3.64967,0.90319,0.07171,0.43153,0.10128,0.07955,0.84729,4.09362,0.86833,5.22391e-05,5.22391e-05,5.22391e-05
80,321.542,0.91392,3.62961,0.91324,0.06936,0.45137,0.10648,0.0839,0.83675,4.05482,0.86676,5.06095e-05,5.06095e-05,5.06095e-05
81,325.318,0.90203,3.47688,0.90934,0.06936,0.45137,0.10648,0.0839,0.83675,4.05482,0.86676,4.89216e-05,4.89216e-05,4.89216e-05
82,329.112,0.98013,3.5809,0.90339,0.06739,0.46957,0.11148,0.08746,0.82559,4.01733,0.86537,4.71755e-05,4.71755e-05,4.71755e-05
83,332.788,0.93039,3.64331,0.90821,0.06739,0.46957,0.11148,0.08746,0.82559,4.01733,0.86537,4.53713e-05,4.53713e-05,4.53713e-05
84,336.907,0.97017,3.62869,0.91511,0.06737,0.49159,0.11601,0.08953,0.81974,3.98671,0.86567,4.35088e-05,4.35088e-05,4.35088e-05
85,341.343,0.92222,3.54578,0.89962,0.06737,0.49159,0.11601,0.08953,0.81974,3.98671,0.86567,4.15881e-05,4.15881e-05,4.15881e-05
86,345.444,0.9765,3.54878,0.90246,0.06608,0.5031,0.11978,0.09385,0.81766,3.95283,0.86513,3.96092e-05,3.96092e-05,3.96092e-05
87,349.271,0.94156,3.53163,0.91905,0.06608,0.5031,0.11978,0.09385,0.81766,3.95283,0.86513,3.7572e-05,3.7572e-05,3.7572e-05
88,353.855,0.94542,3.57084,0.90349,0.06693,0.52954,0.1275,0.09962,0.81544,3.92221,0.86514,3.54767e-05,3.54767e-05,3.54767e-05
89,358.083,0.90511,3.5841,0.89473,0.06693,0.52954,0.1275,0.09962,0.81544,3.92221,0.86514,3.33231e-05,3.33231e-05,3.33231e-05
90,362.092,0.92208,3.53555,0.9033,0.06607,0.53921,0.13145,0.10338,0.81362,3.89047,0.86467,3.11114e-05,3.11114e-05,3.11114e-05
91,365.833,0.9356,3.08104,0.91908,0.06607,0.53921,0.13145,0.10338,0.81362,3.89047,0.86467,2.88414e-05,2.88414e-05,2.88414e-05
92,369.746,0.98573,3.10619,0.92399,0.06701,0.56114,0.13674,0.10808,0.81002,3.84123,0.86454,2.65132e-05,2.65132e-05,2.65132e-05
93,373.529,0.96855,3.06385,0.90412,0.06701,0.56114,0.13674,0.10808,0.81002,3.84123,0.86454,2.41268e-05,2.41268e-05,2.41268e-05
94,377.323,0.99786,3.05114,0.94244,0.06574,0.57891,0.14504,0.11489,0.80638,3.78841,0.863,2.16822e-05,2.16822e-05,2.16822e-05
95,380.863,0.91967,3.08061,0.89961,0.06574,0.57891,0.14504,0.11489,0.80638,3.78841,0.863,1.91794e-05,1.91794e-05,1.91794e-05
96,384.653,0.92455,3.01297,0.89878,0.06564,0.59171,0.14963,0.11847,0.80229,3.74027,0.86172,1.66184e-05,1.66184e-05,1.66184e-05
97,388.408,0.92436,3.00718,0.8983,0.06564,0.59171,0.14963,0.11847,0.80229,3.74027,0.86172,1.39991e-05,1.39991e-05,1.39991e-05
98,392.3,0.92931,3.05648,0.88754,0.06631,0.62554,0.15585,0.12358,0.80016,3.69213,0.86057,1.13216e-05,1.13216e-05,1.13216e-05
99,396.047,0.88666,3.05026,0.90665,0.06631,0.62554,0.15585,0.12358,0.80016,3.69213,0.86057,8.58598e-06,8.58598e-06,8.58598e-06
100,399.583,0.92105,3.04649,0.89275,0.06495,0.63268,0.1594,0.12633,0.79908,3.65077,0.85973,5.79209e-06,5.79209e-06,5.79209e-06
