epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,201.201,0.99529,4.03989,0.95712,0.03646,0.0298,0.01079,0.0087,0.88719,4.56455,0.87162,7.30108e-05,7.30108e-05,7.30108e-05
46,205.252,1.0298,4.12752,0.93376,0.03521,0.03822,0.01373,0.0112,0.88581,4.54845,0.87219,7.33603e-05,7.33603e-05,7.33603e-05
47,209.512,1.00568,4.04643,0.93283,0.03262,0.04334,0.01518,0.01241,0.88619,4.53335,0.87308,7.36517e-05,7.36517e-05,7.36517e-05
48,213.881,0.99536,4.07827,0.92003,0.04099,0.05419,0.01753,0.01423,0.88657,4.51596,0.87203,7.38848e-05,7.38848e-05,7.38848e-05
49,218.126,1.05298,4.05213,0.92588,0.04306,0.06318,0.02212,0.01812,0.87789,4.49938,0.87102,7.40598e-05,7.40598e-05,7.40598e-05
50,222.499,0.96879,4.05565,0.92306,0.0423,0.07015,0.02492,0.02032,0.86949,4.48412,0.87083,7.41765e-05,7.41765e-05,7.41765e-05
51,226.735,1.07859,4.06457,0.93527,0.0423,0.07015,0.02492,0.02032,0.86949,4.48412,0.87083,7.4235e-05,7.4235e-05,7.4235e-05
52,230.747,0.98883,3.97867,0.9391,0.10301,0.08119,0.03078,0.02473,0.86577,4.46174,0.87001,7.42353e-05,7.42353e-05,7.42353e-05
53,234.587,0.98149,3.92059,0.92887,0.10301,0.08119,0.03078,0.02473,0.86577,4.46174,0.87001,7.41774e-05,7.41774e-05,7.41774e-05
54,245.025,1.03137,4.02982,0.9206,0.0663,0.09137,0.03355,0.02704,0.86356,4.44076,0.86957,7.40612e-05,7.40612e-05,7.40612e-05
55,253.096,0.98285,3.97136,0.90883,0.0663,0.09137,0.03355,0.02704,0.86356,4.44076,0.86957,7.38869e-05,7.38869e-05,7.38869e-05
56,261.487,0.95352,4.01082,0.91872,0.06566,0.11341,0.03652,0.02919,0.86374,4.41763,0.86888,7.36543e-05,7.36543e-05,7.36543e-05
57,269.782,0.993,3.932,0.93227,0.06566,0.11341,0.03652,0.02919,0.86374,4.41763,0.86888,7.33636e-05,7.33636e-05,7.33636e-05
58,276.461,0.97953,3.95684,0.89689,0.06469,0.13313,0.04395,0.03526,0.86209,4.39328,0.86893,7.30146e-05,7.30146e-05,7.30146e-05
59,281.175,1.01133,3.94645,0.90572,0.06469,0.13313,0.04395,0.03526,0.86209,4.39328,0.86893,7.26074e-05,7.26074e-05,7.26074e-05
60,286.009,0.96966,3.92029,0.92571,0.06622,0.15031,0.05063,0.04021,0.85917,4.36921,0.8684,7.2142e-05,7.2142e-05,7.2142e-05
61,289.936,0.96987,3.80284,0.90402,0.06622,0.15031,0.05063,0.04021,0.85917,4.36921,0.8684,7.16184e-05,7.16184e-05,7.16184e-05
62,293.818,0.98289,3.86619,0.94222,0.08274,0.18784,0.05868,0.04568,0.85998,4.34688,0.86814,7.10366e-05,7.10366e-05,7.10366e-05
63,297.469,1.04163,3.78612,0.9369,0.08274,0.18784,0.05868,0.04568,0.85998,4.34688,0.86814,7.03965e-05,7.03965e-05,7.03965e-05
64,301.201,0.96453,3.81137,0.90731,0.07609,0.20416,0.06391,0.04997,0.86647,4.32582,0.86923,6.96983e-05,6.96983e-05,6.96983e-05
65,304.663,0.9282,3.78514,0.91014,0.07609,0.20416,0.06391,0.04997,0.86647,4.32582,0.86923,6.89418e-05,6.89418e-05,6.89418e-05
66,308.012,0.98522,3.74957,0.9231,0.07552,0.22466,0.06977,0.05386,0.87676,4.30123,0.87088,6.81272e-05,6.81272e-05,6.81272e-05
67,311.284,0.98536,3.81007,0.90193,0.07552,0.22466,0.06977,0.05386,0.87676,4.30123,0.87088,6.72543e-05,6.72543e-05,6.72543e-05
68,314.582,0.92297,3.82545,0.91302,0.09354,0.25984,0.07754,0.05958,0.87973,4.27737,0.87244,6.63232e-05,6.63232e-05,6.63232e-05
69,317.858,0.93163,3.68116,0.91382,0.09354,0.25984,0.07754,0.05958,0.87973,4.27737,0.87244,6.53339e-05,6.53339e-05,6.53339e-05
70,321.617,0.99273,3.76263,0.91408,0.09141,0.27517,0.0819,0.06312,0.8787,4.24911,0.8735,6.42863e-05,6.42863e-05,6.42863e-05
71,325.711,0.92972,3.71087,0.90961,0.09141,0.27517,0.0819,0.06312,0.8787,4.24911,0.8735,6.31806e-05,6.31806e-05,6.31806e-05
72,330.52,0.96739,3.59489,0.95128,0.0819,0.29526,0.08619,0.06697,0.87803,4.21411,0.87274,6.20167e-05,6.20167e-05,6.20167e-05
73,334.931,0.92299,3.62743,0.90825,0.0819,0.29526,0.08619,0.06697,0.87803,4.21411,0.87274,6.07945e-05,6.07945e-05,6.07945e-05
74,339.448,0.99217,3.75269,0.92505,0.07551,0.3086,0.09117,0.07153,0.86809,4.18096,0.87269,5.95141e-05,5.95141e-05,5.95141e-05
75,343.791,0.93443,3.66739,0.89883,0.07551,0.3086,0.09117,0.07153,0.86809,4.18096,0.87269,5.81755e-05,5.81755e-05,5.81755e-05
76,348.594,0.92668,3.71012,0.91343,0.07101,0.3339,0.09765,0.07703,0.85399,4.14227,0.87147,5.67787e-05,5.67787e-05,5.67787e-05
77,353.192,0.98349,3.5928,0.90654,0.07101,0.3339,0.09765,0.07703,0.85399,4.14227,0.87147,5.53237e-05,5.53237e-05,5.53237e-05
78,357.472,0.97601,3.64953,0.91501,0.07129,0.3657,0.10489,0.08314,0.84336,4.0997,0.86951,5.38105e-05,5.38105e-05,5.38105e-05
79,361.499,0.94905,3.64914,0.90242,0.07129,0.3657,0.10489,0.08314,0.84336,4.0997,0.86951,5.22391e-05,5.22391e-05,5.22391e-05
80,365.698,0.91468,3.62627,0.914,0.06813,0.38103,0.10745,0.0853,0.83139,4.06079,0.86922,5.06095e-05,5.06095e-05,5.06095e-05
81,369.754,0.90388,3.47407,0.91024,0.06813,0.38103,0.10745,0.0853,0.83139,4.06079,0.86922,4.89216e-05,4.89216e-05,4.89216e-05
82,373.681,0.98554,3.58749,0.90407,0.06862,0.41415,0.11187,0.08916,0.82002,4.02015,0.8681,4.71755e-05,4.71755e-05,4.71755e-05
83,377.427,0.93509,3.64505,0.90881,0.06862,0.41415,0.11187,0.08916,0.82002,4.02015,0.8681,4.53713e-05,4.53713e-05,4.53713e-05
84,382.014,0.97596,3.62632,0.91575,0.09745,0.4358,0.12045,0.09584,0.81445,3.98546,0.86742,4.35088e-05,4.35088e-05,4.35088e-05
85,386.521,0.92535,3.5484,0.90078,0.09745,0.4358,0.12045,0.09584,0.81445,3.98546,0.86742,4.15881e-05,4.15881e-05,4.15881e-05
86,391.345,0.97953,3.55085,0.90302,0.09594,0.44395,0.12602,0.10055,0.81342,3.94815,0.86636,3.96092e-05,3.96092e-05,3.96092e-05
87,395.398,0.94685,3.53156,0.92008,0.09594,0.44395,0.12602,0.10055,0.81342,3.94815,0.86636,3.7572e-05,3.7572e-05,3.7572e-05
88,400.71,0.94033,3.5704,0.90268,0.08257,0.54182,0.13409,0.10601,0.81095,3.91564,0.86598,3.54767e-05,3.54767e-05,3.54767e-05
89,405.666,0.90695,3.58384,0.89513,0.08257,0.54182,0.13409,0.10601,0.81095,3.91564,0.86598,3.33231e-05,3.33231e-05,3.33231e-05
90,411.124,0.925,3.53713,0.90401,0.07732,0.54479,0.13937,0.11006,0.80983,3.88264,0.8655,3.11114e-05,3.11114e-05,3.11114e-05
91,416.275,0.92422,3.07334,0.91299,0.07732,0.54479,0.13937,0.11006,0.80983,3.88264,0.8655,2.88414e-05,2.88414e-05,2.88414e-05
92,421.257,0.98879,3.10001,0.92275,0.08118,0.59048,0.14708,0.11632,0.8092,3.83101,0.86453,2.65132e-05,2.65132e-05,2.65132e-05
93,425.932,0.97633,3.0563,0.90574,0.08118,0.59048,0.14708,0.11632,0.8092,3.83101,0.86453,2.41268e-05,2.41268e-05,2.41268e-05
94,430.936,0.99107,3.05082,0.94057,0.08226,0.60537,0.15293,0.12042,0.80865,3.77786,0.86354,2.16822e-05,2.16822e-05,2.16822e-05
95,435.552,0.92366,3.07745,0.90029,0.08226,0.60537,0.15293,0.12042,0.80865,3.77786,0.86354,1.91794e-05,1.91794e-05,1.91794e-05
96,440.456,0.92595,3.00503,0.899,0.08355,0.62308,0.15999,0.12636,0.8085,3.7306,0.86235,1.66184e-05,1.66184e-05,1.66184e-05
97,445.973,0.92839,2.9987,0.89822,0.08355,0.62308,0.15999,0.12636,0.8085,3.7306,0.86235,1.39991e-05,1.39991e-05,1.39991e-05
98,450.965,0.93205,3.05166,0.88751,0.07668,0.63662,0.16441,0.13053,0.80672,3.68246,0.86101,1.13216e-05,1.13216e-05,1.13216e-05
99,456.241,0.88372,3.04297,0.90426,0.07668,0.63662,0.16441,0.13053,0.80672,3.68246,0.86101,8.58598e-06,8.58598e-06,8.58598e-06
100,462.174,0.92474,3.05476,0.89498,0.07653,0.65731,0.16899,0.13356,0.80563,3.6394,0.86062,5.79209e-06,5.79209e-06,5.79209e-06
